accession,localization
Q02978,MITOCHONDRION
P04181,MITOCHONDRION
Q00325-2,MITOCHONDRION
P36957,MITOCHONDRION
O75746,MITOCHONDRION
P09622,MITOCHONDRION
P13995,MITOCHONDRION
Q16595,MITOCHONDRION
O96008,MITOCHONDRION
O43837,MITOCHONDRION
P31937,MITOCHONDRION
Q5HYK3,MITOCHONDRION
Q9Y6N5,MITOCHONDRION
P26440,MITOCHONDRION
P23368,MITOCHONDRION
Q9H845,MITOCHONDRION
Q04837,MITOCHONDRION
Q96CM8-3,MITOCHONDRION
P49821-2,MITOCHONDRION
Q9P0J1,MITOCHONDRION
P51649,MITOCHONDRION
P08574,MITOCHONDRION
Q9Y305-2,MITOCHONDRION
P53597,MITOCHONDRION
O95299,MITOCHONDRION
P11498,MITOCHONDRION
P23786,MITOCHONDRION
P20674,MITOCHONDRION
Q53H12,MITOCHONDRION
P10515,MITOCHONDRION
O75616,MITOCHONDRION
O15382,MITOCHONDRION
P22830,MITOCHONDRION
Q5JTZ9,MITOCHONDRION
Q5JPH6,MITOCHONDRION
O95202,MITOCHONDRION
P10109,MITOCHONDRION
P23434,MITOCHONDRION
P46199,MITOCHONDRION
Q15070-2,MITOCHONDRION
Q5JRX3,MITOCHONDRION
O75208,MITOCHONDRION
P11182,MITOCHONDRION
Q99766,MITOCHONDRION
O14925,MITOCHONDRION
O75127,MITOCHONDRION
Q6IN84,MITOCHONDRION
Q15031,MITOCHONDRION
Q5T160,MITOCHONDRION
O15091,MITOCHONDRION
O75879,MITOCHONDRION
P17844,NUCLEUS/CHROMATIN
P62805,NUCLEUS/CHROMATIN
P07910-2,NUCLEUS/CHROMATIN
Q13151,NUCLEUS/CHROMATIN
Q9P0M6,NUCLEUS/CHROMATIN
Q14683,NUCLEUS/CHROMATIN
Q9UQE7,NUCLEUS/CHROMATIN
Q99848,NUCLEUS/CHROMATIN
Q96E39,NUCLEUS/CHROMATIN
Q9NR30,NUCLEUS/CHROMATIN
P09661,NUCLEUS/CHROMATIN
Q9NPE3,NUCLEUS/CHROMATIN
Q9Y3C1,NUCLEUS/CHROMATIN
P22087,NUCLEUS/CHROMATIN
Q9H0L4,NUCLEUS/CHROMATIN
Q13573,NUCLEUS/CHROMATIN
Q9Y2X3,NUCLEUS/CHROMATIN
Q9Y580,NUCLEUS/CHROMATIN
O43395,NUCLEUS/CHROMATIN
Q7RTV0,NUCLEUS/CHROMATIN
P46013,NUCLEUS/CHROMATIN
Q9NVP1,NUCLEUS/CHROMATIN
O00567,NUCLEUS/CHROMATIN
O60264,NUCLEUS/CHROMATIN
Q12996,NUCLEUS/CHROMATIN
Q9GZR7,NUCLEUS/CHROMATIN
Q9ULR0,NUCLEUS/CHROMATIN
Q5SSJ5,NUCLEUS/CHROMATIN
P55769,NUCLEUS/CHROMATIN
P78332,NUCLEUS/CHROMATIN
O15226,NUCLEUS/CHROMATIN
Q6NW34-2,NUCLEUS/CHROMATIN
O75643,NUCLEUS/CHROMATIN
Q9UMY1,NUCLEUS/CHROMATIN
O95239,NUCLEUS/CHROMATIN
Q8N684-2,NUCLEUS/CHROMATIN
O95926,NUCLEUS/CHROMATIN
P26368-2,NUCLEUS/CHROMATIN
P11388,NUCLEUS/CHROMATIN
P42285,NUCLEUS/CHROMATIN
P0C0S5,NUCLEUS/CHROMATIN
Q14498-2,NUCLEUS/CHROMATIN
Q9BQ39,NUCLEUS/CHROMATIN
Q9HC52,NUCLEUS/CHROMATIN
O95478,NUCLEUS/CHROMATIN
Q9H0A0,NUCLEUS/CHROMATIN
P07305,NUCLEUS/CHROMATIN
Q9NV31,NUCLEUS/CHROMATIN
O60216,NUCLEUS/CHROMATIN
P18754,NUCLEUS/CHROMATIN
O95232,NUCLEUS/CHROMATIN
Q99575,NUCLEUS/CHROMATIN
Q8TED0,NUCLEUS/CHROMATIN
O43818,NUCLEUS/CHROMATIN
Q9BSC4,NUCLEUS/CHROMATIN
Q9NY61,NUCLEUS/CHROMATIN
Q92733,NUCLEUS/CHROMATIN
Q9H8H0,NUCLEUS/CHROMATIN
Q9BVJ6,NUCLEUS/CHROMATIN
Q8N9T8,NUCLEUS/CHROMATIN
Q9BZE4,NUCLEUS/CHROMATIN
P52756,NUCLEUS/CHROMATIN
P35637-2,NUCLEUS/CHROMATIN
