accession,localization
P10253,Lysosome
P04062,Lysosome
Q92820,Lysosome
P16278,Lysosome
P15586,Lysosome
P06865,Lysosome
P07686,Lysosome
P13284,Lysosome
P11279,Lysosome
P13473-2,Lysosome
Q6IAA8,Lysosome
Q9Y2Q5,Lysosome
Q9UHA4,Lysosome
O43504,Lysosome
O00754,Lysosome
P54802,Lysosome
O15118,Lysosome
P61916,Lysosome
Q8NHP8,Lysosome
P50897,Lysosome
P42785,Lysosome
P07602,Lysosome
Q14108,Lysosome
P35573,Large Protein Complex
Q12904,Large Protein Complex
Q13155,Large Protein Complex
Q10567-3,Large Protein Complex
O43747,Large Protein Complex
Q9BXS5,Large Protein Complex
P48444,Large Protein Complex
O15143,Large Protein Complex
O15144,Large Protein Complex
O15145,Large Protein Complex
P59998,Large Protein Complex
O15511,Large Protein Complex
Q9BPX5,Large Protein Complex
P78371,Large Protein Complex
P49368,Large Protein Complex
P50991,Large Protein Complex
P48643,Large Protein Complex
P40227,Large Protein Complex
Q99832,Large Protein Complex
P50990,Large Protein Complex
P09496-2,Large Protein Complex
Q00610,Large Protein Complex
A5YKK6,Large Protein Complex
Q9H9A5,Large Protein Complex
Q9UKZ1,Large Protein Complex
Q9NZN8,Large Protein Complex
O75175,Large Protein Complex
Q9UIV1,Large Protein Complex
Q9UFF9,Large Protein Complex
P53621,Large Protein Complex
P53618,Large Protein Complex
P35606,Large Protein Complex
O14579,Large Protein Complex
Q9Y678,Large Protein Complex
Q9UBF2,Large Protein Complex
P61201,Large Protein Complex
Q9BT78,Large Protein Complex
Q92905,Large Protein Complex
P61923,Large Protein Complex
P19784,Large Protein Complex
P67870,Large Protein Complex
P14868,Large Protein Complex
Q14204,Large Protein Complex
Q13409-3,Large Protein Complex
Q9Y6G9,Large Protein Complex
O43237,Large Protein Complex
P51808,Large Protein Complex
P24534,Large Protein Complex
P29692-2,Large Protein Complex
P26641,Large Protein Complex
P13639,Large Protein Complex
Q9BY44,Large Protein Complex
P19525,Large Protein Complex
Q9P2K8,Large Protein Complex
Q14232,Large Protein Complex
P49770,Large Protein Complex
Q9NR50,Large Protein Complex
Q13144,Large Protein Complex
Q14152,Large Protein Complex
P55884,Large Protein Complex
O15371,Large Protein Complex
P60228,Large Protein Complex
O00303,Large Protein Complex
O75821,Large Protein Complex
O15372,Large Protein Complex
Q13347,Large Protein Complex
Q9UBQ5,Large Protein Complex
Q9Y262,Large Protein Complex
Q7L2H7,Large Protein Complex
P60842,Large Protein Complex
Q14240,Large Protein Complex
P38919,Large Protein Complex
P23588,Large Protein Complex
P06730,Large Protein Complex
O60573,Large Protein Complex
Q9NRA8,Large Protein Complex
Q04637,Large Protein Complex
P78344,Large Protein Complex
Q15056,Large Protein Complex
P07814,Large Protein Complex
Q9NV70,Large Protein Complex
Q96KP1,Large Protein Complex
O60645,Large Protein Complex
Q96A65,Large Protein Complex
O00471,Large Protein Complex
Q9UPT5,Large Protein Complex
Q8IYI6,Large Protein Complex
P13807,Large Protein Complex
P16403,Large Protein Complex
P62805,Large Protein Complex
Q71DI3,Large Protein Complex
Q13151,Large Protein Complex
P22626,Large Protein Complex
P51991-2,Large Protein Complex
Q99729-3,Large Protein Complex
P07910-2,Large Protein Complex
Q14103-3,Large Protein Complex
O14979,Large Protein Complex
P52597,Large Protein Complex
P31943,Large Protein Complex
P31942,Large Protein Complex
P61978-2,Large Protein Complex
P14866,Large Protein Complex
Q8WVV9,Large Protein Complex
P52272,Large Protein Complex
O43390,Large Protein Complex
Q00839,Large Protein Complex
Q9BUJ2,Large Protein Complex
P41252,Large Protein Complex
Q15046,Large Protein Complex
Q9P2J5,Large Protein Complex
P56192,Large Protein Complex
Q9H3P2,Large Protein Complex
Q8WX92,Large Protein Complex
P18615,Large Protein Complex
Q99471,Large Protein Complex
O15212,Large Protein Complex
P62714,Large Protein Complex
P30153,Large Protein Complex
Q14738,Large Protein Complex
P25786,Large Protein Complex
P25787,Large Protein Complex
P25788,Large Protein Complex
P25789,Large Protein Complex
P28066,Large Protein Complex
P60900,Large Protein Complex
O14818,Large Protein Complex
P20618,Large Protein Complex
P49720,Large Protein Complex
P28074,Large Protein Complex
P28072,Large Protein Complex
P62191,Large Protein Complex
P35998,Large Protein Complex
P43686,Large Protein Complex
P62195,Large Protein Complex
P62333,Large Protein Complex
Q99460,Large Protein Complex
O00231,Large Protein Complex
O00232,Large Protein Complex
Q9UNM6,Large Protein Complex
Q13200,Large Protein Complex
O43242,Large Protein Complex
P55036,Large Protein Complex
Q15008,Large Protein Complex
P48556,Large Protein Complex
P11216,Large Protein Complex
P54136,Large Protein Complex
P35250,Large Protein Complex
P40938,Large Protein Complex
P35249,Large Protein Complex
P40937,Large Protein Complex
P62906,Large Protein Complex
P62913,Large Protein Complex
P30050,Large Protein Complex
P26373,Large Protein Complex
P50914,Large Protein Complex
P61313,Large Protein Complex
P18621,Large Protein Complex
Q07020,Large Protein Complex
Q02543,Large Protein Complex
P84098,Large Protein Complex
P46778,Large Protein Complex
P62829,Large Protein Complex
P62750,Large Protein Complex
P83731,Large Protein Complex
P61353,Large Protein Complex
P46776,Large Protein Complex
P46779,Large Protein Complex
P47914,Large Protein Complex
P39023,Large Protein Complex
P62888,Large Protein Complex
P62899,Large Protein Complex
P62910,Large Protein Complex
P42766,Large Protein Complex
P18077,Large Protein Complex
Q9Y3U8,Large Protein Complex
P61513,Large Protein Complex
P36578,Large Protein Complex
P46777,Large Protein Complex
Q02878,Large Protein Complex
P18124,Large Protein Complex
P62424,Large Protein Complex
P62917,Large Protein Complex
P32969,Large Protein Complex
P05387,Large Protein Complex
P62280,Large Protein Complex
P25398,Large Protein Complex
P62277,Large Protein Complex
P62263,Large Protein Complex
P62841,Large Protein Complex
P62249,Large Protein Complex
P08708,Large Protein Complex
P62269,Large Protein Complex
P39019,Large Protein Complex
P15880,Large Protein Complex
P60866,Large Protein Complex
P63220,Large Protein Complex
P62266,Large Protein Complex
P62847,Large Protein Complex
P62851,Large Protein Complex
Q71UM5,Large Protein Complex
P62857,Large Protein Complex
P23396,Large Protein Complex
P61247,Large Protein Complex
P46782,Large Protein Complex
P62753,Large Protein Complex
P62081,Large Protein Complex
P62241,Large Protein Complex
P46781,Large Protein Complex
P55735,Large Protein Complex
Q15436,Large Protein Complex
Q15437,Large Protein Complex
O95486,Large Protein Complex
O95487,Large Protein Complex
P53992,Large Protein Complex
O94855,Large Protein Complex
O94979,Large Protein Complex
Q15459,Large Protein Complex
Q12874,Large Protein Complex
O75533,Large Protein Complex
Q13435,Large Protein Complex
Q15393,Large Protein Complex
Q15427,Large Protein Complex
Q14683,Large Protein Complex
O95347,Large Protein Complex
Q9UQE7,Large Protein Complex
Q9NTJ3,Large Protein Complex
Q07955,Large Protein Complex
Q05519,Large Protein Complex
Q01130,Large Protein Complex
P84103,Large Protein Complex
Q13247,Large Protein Complex
Q16629,Large Protein Complex
P17987,Large Protein Complex
Q7Z392,Large Protein Complex
O43617,Large Protein Complex
Q9Y296,Large Protein Complex
Q9Y2L5,Large Protein Complex
P68363,Large Protein Complex
Q9BQE3,Large Protein Complex
P07437,Large Protein Complex
P68371,Large Protein Complex
Q9BUF5,Large Protein Complex
Q9BYJ9,Large Protein Complex
Q9Y5A9,Large Protein Complex
Q7Z739,Large Protein Complex
P31946,Large Protein Complex
P62258,Large Protein Complex
P61981,Large Protein Complex
Q04917,Large Protein Complex
P27348,Large Protein Complex
P63104,Large Protein Complex
P84077,Golgi
P40616,Golgi
P98194-7,Golgi
P15291,Golgi
O75063,Golgi
Q10471,Golgi
Q8NCL4,Golgi
Q86SF2,Golgi
Q8IWJ2,Golgi
Q92896,Golgi
Q08379,Golgi
Q13439,Golgi
Q14789-2,Golgi
O00461,Golgi
Q9H8Y8,Golgi
O95249,Golgi
Q16706,Golgi
Q9BRK5,Golgi
Q8TB61,Golgi
Q15643,Golgi
O15155,Ergic/cisGolgi
Q969X5,Ergic/cisGolgi
Q96RQ1,Ergic/cisGolgi
Q9Y282,Ergic/cisGolgi
Q9BS26,Ergic/cisGolgi
O14653,Ergic/cisGolgi
P49257,Ergic/cisGolgi
Q12907,Ergic/cisGolgi
Q9H0V9,Ergic/cisGolgi
Q8NI22,Ergic/cisGolgi
P61019,Ergic/cisGolgi
Q13190,Ergic/cisGolgi
O15260,Ergic/cisGolgi
Q13445,Ergic/cisGolgi
P49755,Ergic/cisGolgi
Q15363,Ergic/cisGolgi
Q9Y3Q3,Ergic/cisGolgi
Q7Z7H5,Ergic/cisGolgi
Q9Y3A6,Ergic/cisGolgi
Q9BVK6,Ergic/cisGolgi
Q969M3,Ergic/cisGolgi
Q8NHH9,ER_Tubular
Q6DD88,ER_Tubular
Q00765,ER_Tubular
O95197,ER_Tubular
Q9NQC3,ER_Tubular
O75396,ER_Tubular
P51648,ER
Q12797,ER
Q9HD20,ER
P16615,ER
P27797,ER
P27824,ER
Q99715,ER
Q8NBJ5,ER
P39656,ER
Q9UBS4,ER
Q8IXB1,ER
P07099,ER
O75477,ER
O94905,ER
Q7Z2K6,ER
P30040,ER
P37268,ER
Q96AY3,ER
O95302,ER
Q14697-2,ER
Q8TED1,ER
Q9P035,ER
Q8TCT9,ER
Q53GQ0,ER
P14625,ER
P11021,ER
Q9Y4L1,ER
Q14643,ER
Q14573,ER
Q6UW63,ER
Q7Z4H8,ER
Q6UWP7,ER
Q32P28,ER
Q08380,ER
P30533,ER
P48449,ER
Q5JRA6,ER
Q9UNW1,ER
Q14165,ER
Q13724,ER
A2RRP1,ER
Q969V3-2,ER
P13674-2,ER
P07237,ER
P30101,ER
P13667,ER
Q15084,ER
O00264,ER
Q92643,ER
Q96S52,ER
Q969N2,ER
Q02809,ER
O00469-2,ER
O60568,ER
Q9H488,ER
Q8NBL1,ER
P16435,ER
P23284,ER
Q92626,ER
Q14257,ER
Q96D15,ER
Q8TC12,ER
Q6NUM9,ER
P04843,ER
P04844,ER
Q9P2E9,ER
Q9NTJ5,ER
O00767,ER
Q9HCN8,ER
P67812,ER
P61619,ER
Q9UGP8,ER
P50454,ER
O14975,ER
P35610,ER
Q15005,ER
O15269,ER
O15270,ER
P61011,ER
Q9UHB9,ER
O76094,ER
P08240,ER
Q9Y5M8,ER
P51571,ER
P46977,ER
Q8TCJ2,ER
Q8NBJ7,ER
Q03518,ER
Q03519,ER
O15533,ER
Q9NZ01,ER
P57088,ER
Q96JJ7,ER
Q8NFQ8,ER
O95881,ER
Q8NBS9,ER
Q92575,ER
Q9NYU2,ER
Q9P0L0,ER
O95292,ER
Q9P2R3,Endosome
O00203,Endosome
O14617,Endosome
Q9Y2T2,Endosome
Q96BM9,Endosome
Q15904,Endosome
Q93050,Endosome
Q9Y487,Endosome
P61421,Endosome
P38606,Endosome
P21281,Endosome
P21283,Endosome
O75165,Endosome
Q9H4M9,Endosome
Q9H223,Endosome
Q641Q2,Endosome
O14964,Endosome
P11717,Endosome
Q12768,Endosome
Q2M389,Endosome
P20645,Endosome
Q01968,Endosome
Q15907,Endosome
Q6WKZ4,Endosome
P61106,Endosome
Q9H0T7,Endosome
P20338,Endosome
P51151,Endosome
O15126,Endosome
O14828,Endosome
Q6P3W7,Endosome
Q13596,Endosome
O60749,Endosome
Q96L92,Endosome
O60493,Endosome
Q9Y5X3,Endosome
Q9UNH7,Endosome
Q92783,Endosome
O60499,Endosome
Q86Y82,Endosome
O14662-4,Endosome
O43752,Endosome
O15400,Endosome
P02786,Endosome
Q08AM6,Endosome
P51809,Endosome
Q9BV40,Endosome
Q9H270,Endosome
Q9H269,Endosome
Q9P253,Endosome
O75436,Endosome
Q4G0F5,Endosome
Q9UBQ0,Endosome
Q96AX1,Endosome
Q96QK1,Endosome
Q96JC1-2,Endosome
Q9NRW7,Endosome
Q9UEU0,Endosome
Q8IWB7,Endosome
P60709,Actin binding proteins
P63261,Actin binding proteins
P12814,Actin binding proteins
O43707,Actin binding proteins
Q05682-3,Actin binding proteins
Q9BR76,Actin binding proteins
Q9ULV4,Actin binding proteins
Q14247,Actin binding proteins
Q16643,Actin binding proteins
P21333,Actin binding proteins
O75369-8,Actin binding proteins
Q9UPQ0,Actin binding proteins
Q8WWI1-3,Actin binding proteins
Q6WCQ1-2,Actin binding proteins
P35580,Actin binding proteins
P35579,Actin binding proteins
P60660-2,Actin binding proteins
Q8WX93,Actin binding proteins
Q9NR12,Actin binding proteins
P13797,Actin binding proteins
Q9P0K7,Actin binding proteins
O94875-12,Actin binding proteins
Q13813,Actin binding proteins
Q01082,Actin binding proteins
O15020,Actin binding proteins
Q9Y490,Actin binding proteins
Q9HBL0,Actin binding proteins
