accession,localization
Q15904,Endosome 
Q15904,Endosome 
Q15904,Endosome 
Q15904,Endosome 
Q15904,Endosome 
Q15904,Endosome 
Q93050-3,Endosome 
Q93050-3,Endosome 
Q93050-3,Endosome 
Q93050-3,Endosome 
Q93050-3,Endosome 
Q93050-3,Endosome 
Q9Y487,Endosome 
Q9Y487,Endosome 
Q9Y487,Endosome 
Q9Y487,Endosome 
Q9Y487,Endosome 
Q9Y487,Endosome 
P61421,Endosome 
P61421,Endosome 
P61421,Endosome 
P61421,Endosome 
P61421,Endosome 
P61421,Endosome 
P38606,Endosome 
P38606,Endosome 
P38606,Endosome 
P38606,Endosome 
P38606,Endosome 
P38606,Endosome 
P21281,Endosome 
P21281,Endosome 
P21281,Endosome 
P21281,Endosome 
P21281,Endosome 
P21281,Endosome 
P21283,Endosome 
P21283,Endosome 
P21283,Endosome 
P21283,Endosome 
P21283,Endosome 
P21283,Endosome 
P36543,Endosome 
P36543,Endosome 
P36543,Endosome 
P36543,Endosome 
P36543,Endosome 
P36543,Endosome 
O75348,Endosome 
O75348,Endosome 
O75348,Endosome 
O75348,Endosome 
O75348,Endosome 
O75348,Endosome 
Q9UI12,Endosome 
Q9UI12,Endosome 
Q9UI12,Endosome 
Q9UI12,Endosome 
Q9UI12,Endosome 
P78537,Endosome 
Q6QNY1,Endosome 
Q6QNY1,Endosome 
Q6QNY1,Endosome 
P86791,Endosome 
P86791,Endosome 
P86791,Endosome 
P86791,Endosome 
P86791,Endosome 
P86791,Endosome 
P51790,Endosome 
P51790,Endosome 
P51790,Endosome 
P51790,Endosome 
P51790,Endosome 
O75165,Endosome 
O75165,Endosome 
O75165,Endosome 
O75165,Endosome 
O75165,Endosome 
O75165,Endosome 
Q15075,Endosome 
Q15075,Endosome 
Q15075,Endosome 
Q15075,Endosome 
Q15075,Endosome 
Q15075,Endosome 
Q9H4M9,Endosome 
Q9H4M9,Endosome 
Q9H4M9,Endosome 
Q9H4M9,Endosome 
Q9H4M9,Endosome 
Q9H4M9,Endosome 
Q9H223,Endosome 
Q9H223,Endosome 
Q9H223,Endosome 
Q9H223,Endosome 
Q9H223,Endosome 
Q9H223,Endosome 
Q641Q2,Endosome 
Q641Q2,Endosome 
Q641Q2,Endosome 
Q641Q2,Endosome 
Q641Q2,Endosome 
Q641Q2,Endosome 
O14964,Endosome 
O14964,Endosome 
O14964,Endosome 
O14964,Endosome 
O14964,Endosome 
O14964,Endosome 
P11717,Endosome 
P11717,Endosome 
P11717,Endosome 
P11717,Endosome 
P11717,Endosome 
P11717,Endosome 
Q12768,Endosome 
Q12768,Endosome 
Q12768,Endosome 
Q12768,Endosome 
Q12768,Endosome 
Q12768,Endosome 
Q2M389,Endosome 
Q2M389,Endosome 
Q2M389,Endosome 
P20645,Endosome 
P20645,Endosome 
P20645,Endosome 
P20645,Endosome 
P20645,Endosome 
P20645,Endosome 
Q01968,Endosome 
Q01968,Endosome 
Q01968,Endosome 
Q01968,Endosome 
Q01968,Endosome 
Q01968,Endosome 
Q15907,Endosome 
Q15907,Endosome 
Q15907,Endosome 
Q15907,Endosome 
Q15907,Endosome 
Q15907,Endosome 
Q6WKZ4,Endosome 
Q6WKZ4,Endosome 
Q6WKZ4,Endosome 
Q6WKZ4,Endosome 
Q6WKZ4,Endosome 
Q6WKZ4,Endosome 
Q9BXF6,Endosome 
Q9BXF6,Endosome 
Q9BXF6,Endosome 
Q9BXF6,Endosome 
Q9BXF6,Endosome 
Q9BXF6,Endosome 
P61106,Endosome 
P61106,Endosome 
P61106,Endosome 
P61106,Endosome 
P61106,Endosome 
P61106,Endosome 
P20338,Endosome 
P20338,Endosome 
P20338,Endosome 
P20338,Endosome 
P20338,Endosome 
P20338,Endosome 
P51151,Endosome 
P51151,Endosome 
P51151,Endosome 
P51151,Endosome 
P51151,Endosome 
P51151,Endosome 
O15126,Endosome 
O15126,Endosome 
O15126,Endosome 
O15126,Endosome 
O15126,Endosome 
O15126,Endosome 
O15127,Endosome 
O15127,Endosome 
O15127,Endosome 
O15127,Endosome 
O15127,Endosome 
O15127,Endosome 
O14828,Endosome 
O14828,Endosome 
O14828,Endosome 
O14828,Endosome 
O14828,Endosome 
O14828,Endosome 
Q6P3W7,Endosome 
Q6P3W7,Endosome 
Q6P3W7,Endosome 
Q6P3W7,Endosome 
Q6P3W7,Endosome 
Q6P3W7,Endosome 
Q13596,Endosome 
Q13596,Endosome 
Q13596,Endosome 
Q13596,Endosome 
Q13596,Endosome 
Q13596,Endosome 
O60749,Endosome 
O60749,Endosome 
O60749,Endosome 
O60749,Endosome 
O60749,Endosome 
O60749,Endosome 
Q96L92,Endosome 
Q96L92,Endosome 
Q96L92,Endosome 
Q96L92,Endosome 
Q96L92,Endosome 
Q96L92,Endosome 
O60493,Endosome 
O60493,Endosome 
O60493,Endosome 
O60493,Endosome 
O60493,Endosome 
O60493,Endosome 
Q9Y5X3,Endosome 
Q9Y5X3,Endosome 
Q9Y5X3,Endosome 
Q9Y5X3,Endosome 
Q9Y5X3,Endosome 
Q9Y5X3,Endosome 
Q9UNH7,Endosome 
Q9UNH7,Endosome 
Q9UNH7,Endosome 
Q9UNH7,Endosome 
Q9UNH7,Endosome 
Q9UNH7,Endosome 
Q9Y5X2,Endosome 
Q9Y5X2,Endosome 
Q9Y5X2,Endosome 
Q9Y5X2,Endosome 
Q9Y5X2,Endosome 
Q9Y5X2,Endosome 
Q99523,Endosome 
Q99523,Endosome 
Q99523,Endosome 
Q99523,Endosome 
Q99523,Endosome 
Q92783,Endosome 
Q92783,Endosome 
Q92783,Endosome 
Q92783,Endosome 
Q92783,Endosome 
Q92783,Endosome 
O60499,Endosome 
O60499,Endosome 
O60499,Endosome 
O60499,Endosome 
O60499,Endosome 
O60499,Endosome 
Q86Y82,Endosome 
Q86Y82,Endosome 
Q86Y82,Endosome 
Q86Y82,Endosome 
Q86Y82,Endosome 
Q86Y82,Endosome 
O43752,Endosome 
O43752,Endosome 
O43752,Endosome 
O43752,Endosome 
O43752,Endosome 
O43752,Endosome 
O15400,Endosome 
O15400,Endosome 
O15400,Endosome 
O15400,Endosome 
O15400,Endosome 
O15400,Endosome 
Q9UNK0,Endosome 
Q9UNK0,Endosome 
Q9UNK0,Endosome 
Q9UNK0,Endosome 
Q9UNK0,Endosome 
Q9UNK0,Endosome 
Q92609,Endosome 
Q92609,Endosome 
Q92609,Endosome 
P02786,Endosome 
P02786,Endosome 
P02786,Endosome 
P02786,Endosome 
P02786,Endosome 
P02786,Endosome 
Q08AM6,Endosome 
Q08AM6,Endosome 
Q08AM6,Endosome 
Q08AM6,Endosome 
Q08AM6,Endosome 
Q08AM6,Endosome 
P51809,Endosome 
P51809,Endosome 
P51809,Endosome 
P51809,Endosome 
P51809,Endosome 
P51809,Endosome 
Q9BV40,Endosome 
Q9BV40,Endosome 
Q9BV40,Endosome 
Q9BV40,Endosome 
Q9BV40,Endosome 
Q9BV40,Endosome 
Q9H270,Endosome 
